id,uf_id,favorite_cart_id,order_id,unit_price_stamp,date_for_order,product_id,quantity,ts_ordered,name,provider_id,arrived,revised,shop_quantity
89898,14,,355,2.51,2014-12-04,1,0.5,"2014-11-28 12:48:55",Bròcoli,2,1,0,
89931,24,,355,2.51,2014-12-04,1,1,"2014-11-28 16:52:52",Bròcoli,2,1,0,
89899,14,,355,1.46,2014-12-04,4,2,"2014-11-28 12:48:55",Bleda,2,1,0,
90167,8,,355,1.46,2014-12-04,4,1,"2014-11-30 16:41:06",Bleda,2,1,0,
90058,11,,355,1.95,2014-12-04,5,1,"2014-11-30 09:27:54","Bròquil Verd",2,1,0,
90255,7,,355,1.95,2014-12-04,5,1,"2014-11-30 18:07:30","Bròquil Verd",2,1,0,
90414,21,,355,1.54,2014-12-04,6,1,"2014-11-30 19:08:05","Carbassa ",2,1,0,
89897,14,,355,1.54,2014-12-04,6,1,"2014-11-28 12:48:55","Carbassa ",2,1,0,
90166,8,,355,1.54,2014-12-04,6,1,"2014-11-30 16:41:06","Carbassa ",2,1,0,
90164,8,,355,1.42,2014-12-04,9,1,"2014-11-30 16:41:06","Ceba seca ",2,1,0,
90522,25,,355,1.42,2014-12-04,9,1,"2014-12-01 07:59:38","Ceba seca ",2,1,0,
89895,14,,355,1.42,2014-12-04,9,1,"2014-11-28 12:48:55","Ceba seca ",2,1,0,
90413,21,,355,1.95,2014-12-04,11,1,"2014-11-30 19:08:05","Col i flor",2,1,0,
90412,21,,355,1.7,2014-12-04,12,1,"2014-11-30 19:08:05","Col lombarda",2,1,0,
89984,17,,355,4.01,2014-12-04,15,0.5,"2014-11-29 08:32:20",Espinac,2,1,0,
89929,24,,355,4.01,2014-12-04,15,1,"2014-11-28 16:52:52",Espinac,2,1,0,
90516,25,,355,1.86,2014-12-04,20,0.5,"2014-12-01 07:59:38","Pastanaga granel",2,1,0,
90159,8,,355,1.86,2014-12-04,20,1,"2014-11-30 16:41:06","Pastanaga granel",2,1,0,
90410,21,,355,1.86,2014-12-04,20,1,"2014-11-30 19:08:05","Pastanaga granel",2,1,0,
90158,8,,355,1.34,2014-12-04,22,1,"2014-11-30 16:41:06","Patata Kenebek",2,1,0,
89980,17,,355,1.34,2014-12-04,22,1,"2014-11-29 08:32:20","Patata Kenebek",2,1,0,
90409,21,,355,1.34,2014-12-04,22,2,"2014-11-30 19:08:05","Patata Kenebek",2,1,0,
89891,14,,355,1.34,2014-12-04,22,1,"2014-11-28 12:48:55","Patata Kenebek",2,1,0,
90515,25,,355,1.34,2014-12-04,23,1,"2014-12-01 07:59:38","Patata Mona Lisa",2,1,0,
89885,14,,355,2.11,2014-12-04,24,1,"2014-11-28 12:48:55",Porros,2,1,0,
90257,7,,355,2.11,2014-12-04,24,1,"2014-11-30 18:07:30",Porros,2,1,0,
90156,8,,355,2.11,2014-12-04,24,1,"2014-11-30 16:41:06",Porros,2,1,0,
90520,25,,355,4.05,2014-12-04,29,0.5,"2014-12-01 07:59:38",Kiwi,2,1,0,
90519,25,,355,1.99,2014-12-04,30,0.5,"2014-12-01 07:59:38",Llimona,2,1,0,
90060,11,,355,1.99,2014-12-04,30,1,"2014-11-30 09:27:54",Llimona,2,1,0,
89894,14,,355,3.83,2014-12-04,31,1,"2014-11-28 12:48:55",Magranes,2,1,0,
90411,21,,355,3.83,2014-12-04,31,1,"2014-11-30 19:08:05",Magranes,2,1,0,
90162,8,,355,3.83,2014-12-04,31,1,"2014-11-30 16:41:06",Magranes,2,1,0,
90059,11,,355,2.02,2014-12-04,32,1,"2014-11-30 09:27:54",Mandarina,2,1,0,
89893,14,,355,2.02,2014-12-04,32,2,"2014-11-28 12:48:55",Mandarina,2,1,0,
90261,7,,355,2.02,2014-12-04,32,1,"2014-11-30 18:07:30",Mandarina,2,1,0,
89983,17,,355,2.02,2014-12-04,32,1,"2014-11-29 08:32:20",Mandarina,2,1,0,
90518,25,,355,2.02,2014-12-04,32,1,"2014-12-01 07:59:38",Mandarina,2,1,0,
90514,25,,355,2.43,2014-12-04,33,1,"2014-12-01 07:59:38","Pera Conference",2,1,0,
89889,14,,355,2.43,2014-12-04,33,1,"2014-11-28 12:48:55","Pera Conference",2,1,0,
90408,21,,355,2.43,2014-12-04,33,1,"2014-11-30 19:08:05","Pera Conference",2,1,0,
89927,24,,355,2.43,2014-12-04,33,1,"2014-11-28 16:52:52","Pera Conference",2,1,0,
90260,7,,355,2.43,2014-12-04,33,0.5,"2014-11-30 18:07:30","Pera Conference",2,1,0,
90157,8,,355,2.47,2014-12-04,35,1,"2014-11-30 16:41:06","Poma Fuji",2,1,0,
89887,14,,355,2.47,2014-12-04,35,2,"2014-11-28 12:48:55","Poma Fuji",2,1,0,
89978,17,,355,2.47,2014-12-04,35,1,"2014-11-29 08:32:20","Poma Fuji",2,1,0,
89886,14,,355,2.35,2014-12-04,36,1,"2014-11-28 12:48:55","Poma Golden",2,1,0,
90512,25,,355,2.35,2014-12-04,36,1,"2014-12-01 07:59:38","Poma Golden",2,1,0,
89900,14,,355,2.22,2014-12-04,42,0.5,"2014-11-28 12:48:55",Alberginia,2,1,0,
90517,25,,355,2.25,2014-12-04,46,2,"2014-12-01 07:59:38","Ous ( Mitja dotzena)",2,1,0,
89928,24,,355,2.25,2014-12-04,46,1,"2014-11-28 16:52:52","Ous ( Mitja dotzena)",2,1,0,
89892,14,,355,2.25,2014-12-04,46,1,"2014-11-28 12:48:55","Ous ( Mitja dotzena)",2,1,0,
89981,17,,355,2.25,2014-12-04,46,1,"2014-11-29 08:32:20","Ous ( Mitja dotzena)",2,1,0,
89982,17,,355,6.25,2014-12-04,47,0.5,"2014-11-29 08:32:20","Mongeta tendra",2,1,0,
90161,8,,355,6.25,2014-12-04,47,1,"2014-11-30 16:41:06","Mongeta tendra",2,1,0,
90254,7,,355,2.02,2014-12-04,48,1,"2014-11-30 18:07:30","Pastanaga Manat",2,1,0,
90407,21,,355,3.24,2014-12-04,51,1,"2014-11-30 19:08:05","Shiitake ( safata 150gr)",2,1,0,
89979,17,,355,2.39,2014-12-04,60,1,"2014-11-29 08:32:20",Plàtan,2,1,0,
89888,14,,355,2.39,2014-12-04,60,0.5,"2014-11-28 12:48:55",Plàtan,2,1,0,
89926,24,,355,2.39,2014-12-04,60,1,"2014-11-28 16:52:52",Plàtan,2,1,0,
90259,7,,355,2.39,2014-12-04,60,1,"2014-11-30 18:07:30",Plàtan,2,1,0,
90052,11,,355,2.39,2014-12-04,60,1,"2014-11-30 09:27:54",Plàtan,2,1,0,
90513,25,,355,2.39,2014-12-04,60,0.5,"2014-12-01 07:59:38",Plàtan,2,1,0,
90511,25,,355,1.66,2014-12-04,64,1,"2014-12-01 07:59:38","Taronja ",2,1,0,
90258,7,,355,1.66,2014-12-04,64,2,"2014-11-30 18:07:30","Taronja ",2,1,0,
89930,24,,355,2.39,2014-12-04,80,1,"2014-11-28 16:52:52",Carbassó,2,1,0,
89986,17,,355,2.39,2014-12-04,80,0.5,"2014-11-29 08:32:20",Carbassó,2,1,0,
89896,14,,355,2.39,2014-12-04,80,1,"2014-11-28 12:48:55",Carbassó,2,1,0,
90523,25,,355,2.39,2014-12-04,80,1,"2014-12-01 07:59:38",Carbassó,2,1,0,
90165,8,,355,2.39,2014-12-04,80,1,"2014-11-30 16:41:06",Carbassó,2,1,0,
90582,25,,355,0.19,2014-12-04,83,13,"2014-12-01 14:45:26",Transporte,2,1,0,
90581,24,,355,0.19,2014-12-04,83,6,"2014-12-01 14:45:26",Transporte,2,1,0,
90578,14,,355,0.19,2014-12-04,83,16,"2014-12-01 14:45:26",Transporte,2,1,0,
90579,17,,355,0.19,2014-12-04,83,9,"2014-12-01 14:45:26",Transporte,2,1,0,
