id,uf_id,favorite_cart_id,order_id,unit_price_stamp,date_for_order,product_id,quantity,ts_ordered,name,provider_id,arrived,revised,shop_quantity
892,23,,,5.93,2013-07-25,2,0.5,"2013-07-22 20:55:27",Alls,2,1,0,
547,11,,,1.5,2013-07-25,4,1,"2013-07-22 20:29:11",Bleda,2,1,0,
921,24,,,1.5,2013-07-25,4,1,"2013-07-22 21:16:50",Bleda,2,1,0,
940,25,,,1.5,2013-07-25,4,1,"2013-07-22 21:23:47",Bleda,2,1,0,
701,14,,,1.78,2013-07-25,9,0.5,"2013-07-22 20:40:32","Ceba seca",2,1,0,
475,8,,,1.78,2013-07-25,9,1,"2013-07-22 20:23:54","Ceba seca",2,1,0,
732,17,,,1.78,2013-07-25,9,0.5,"2013-07-22 20:45:21","Ceba seca",2,1,0,
358,6,,,1.78,2013-07-25,9,0.5,"2013-07-22 20:08:35","Ceba seca",2,1,0,
906,23,,,1.78,2013-07-25,9,0.5,"2013-07-22 20:55:27","Ceba seca",2,1,0,
920,24,,,1.78,2013-07-25,9,1,"2013-07-22 21:16:50","Ceba seca",2,1,0,
545,11,,,1.12,2013-07-25,13,1,"2013-07-22 20:29:11","Enciam ""Maravella""",2,1,0,
905,23,,,1.12,2013-07-25,13,2,"2013-07-22 20:55:27","Enciam ""Maravella""",2,1,0,
789,18,,,1.12,2013-07-25,13,1,"2013-07-22 20:48:10","Enciam ""Maravella""",2,1,0,
939,25,,,1.12,2013-07-25,13,1,"2013-07-22 21:23:47","Enciam ""Maravella""",2,1,0,
357,6,,,1.12,2013-07-25,13,1,"2013-07-22 20:08:35","Enciam ""Maravella""",2,1,0,
473,8,,,1.26,2013-07-25,22,1,"2013-07-22 20:23:54","Patata Kenebek",2,1,0,
903,23,,,1.26,2013-07-25,22,3,"2013-07-22 20:55:27","Patata Kenebek",2,1,0,
786,18,,,1.26,2013-07-25,23,2,"2013-07-22 20:48:10","Patata Mona Lisa",2,1,0,
356,6,,,2.34,2013-07-25,24,0.5,"2013-07-22 20:08:35",Porros,2,1,0,
544,11,,,2.34,2013-07-25,24,1,"2013-07-22 20:29:11",Porros,2,1,0,
472,8,,,2.34,2013-07-25,24,1,"2013-07-22 20:23:54",Porros,2,1,0,
699,14,,,2.34,2013-07-25,24,0.5,"2013-07-22 20:40:32",Porros,2,1,0,
548,11,,,1.97,2013-07-25,42,1,"2013-07-22 20:29:11",Alberginia,2,1,0,
703,14,,,1.97,2013-07-25,42,0.5,"2013-07-22 20:40:32",Alberginia,2,1,0,
788,18,,,2.11,2013-07-25,46,1,"2013-07-22 20:48:10","Ous ( Mitja dotzena)",2,1,0,
919,24,,,2.11,2013-07-25,46,1,"2013-07-22 21:16:50","Ous ( Mitja dotzena)",2,1,0,
689,14,,,5.15,2013-07-25,47,0.5,"2013-07-22 20:40:32","Mongeta tendra",2,1,0,
787,18,,,5.15,2013-07-25,47,1,"2013-07-22 20:48:10","Mongeta tendra",2,1,0,
944,9,,,5.15,2013-07-25,47,0.5,"2013-07-23 05:08:24","Mongeta tendra",2,1,0,
