id,uf_id,favorite_cart_id,order_id,unit_price_stamp,date_for_order,product_id,quantity,ts_ordered,name,provider_id,arrived,revised,shop_quantity
235568,10,,,7.43,2018-05-03,730,2,"2018-04-29 13:58:40","Vedella Bistec 1a ",24,1,0,
235780,20,,,6.36,2018-05-03,898,1,"2018-04-29 18:06:55","Vedella Escalopa ",24,1,0,
234337,17,,,5.74,2018-05-03,903,1,"2018-04-20 07:29:03","Vedella Estofat (tacs)",24,1,0,
235349,22,,,4.97,2018-05-03,904,0.5,"2018-04-28 09:06:11","Vedella Carn picada ",24,1,0,
235580,23,,,2.7,2018-05-03,905,1,"2018-04-29 15:42:53","Vedella Hamburgueses ",24,1,0,
235366,22,,,2.7,2018-05-03,905,1,"2018-04-28 09:06:11","Vedella Hamburgueses ",24,1,0,
235428,15,,,2.7,2018-05-03,905,1,"2018-04-28 18:39:51","Vedella Hamburgueses ",24,1,0,
234336,17,,,2.7,2018-05-03,905,2,"2018-04-20 07:29:03","Vedella Hamburgueses ",24,1,0,
234899,7,,,2.7,2018-05-03,905,1,"2018-04-26 13:18:28","Vedella Hamburgueses ",24,1,0,
235104,19,,,20.2,2018-05-03,907,1,"2018-04-27 19:09:53","Pollastre sencer",24,1,0,
235569,10,,,6.4,2018-05-03,909,1,"2018-04-29 13:58:40","Pollastre Pit",24,1,0,
235581,23,,,3.43,2018-05-03,910,1,"2018-04-29 15:42:53","Pollastre Pernilets ",24,1,0,
235367,22,,,3.43,2018-05-03,910,1,"2018-04-28 09:06:11","Pollastre Pernilets ",24,1,0,
235582,23,,,4.28,2018-05-03,911,1,"2018-04-29 15:42:53","Pollastre Escalopa",24,1,0,
235570,10,,,2.86,2018-05-03,913,2,"2018-04-29 13:58:40","Pollastre Hamburgueses",24,1,0,
234901,7,,,2.86,2018-05-03,913,1,"2018-04-26 13:18:28","Pollastre Hamburgueses",24,1,0,
235368,22,,,2.86,2018-05-03,913,1,"2018-04-28 09:06:11","Pollastre Hamburgueses",24,1,0,
234339,17,,,5.73,2018-05-03,914,1,"2018-04-20 07:29:03","Pollastre Salsitxes",24,1,0,
234900,7,,,5.73,2018-05-03,914,1,"2018-04-26 13:18:28","Pollastre Salsitxes",24,1,0,
235105,19,,,12.16,2018-05-03,918,0.5,"2018-04-27 19:09:53","Xai Costelles i mitjanes",24,1,0,
235781,20,,,18.03,2018-05-03,922,1,"2018-04-29 18:06:55","Xai Barbacoa",24,1,0,
234338,17,,,6.44,2018-05-03,924,1,"2018-04-20 07:29:03","Porc Botifarra / Llangonisseta",24,1,0,
